well,Date,subsidence,tds,gwr_elev
895,8/1/16,36.2,,
895,7/31/16,32.96,,
895,7/30/16,32.4,,
895,7/29/16,27.08,,
895,7/28/16,25.69,,
895,7/27/16,31.65,,
895,7/26/16,29.91,,
895,7/25/16,24.79,,
895,7/24/16,29.71,,
895,7/23/16,22.35,,
895,7/22/16,26.82,,
895,7/21/16,26.42,,
895,7/20/16,32.29,,
895,7/19/16,23.05,,
895,7/18/16,28.94,,
895,7/17/16,30.35,,
895,7/16/16,32.21,,
895,7/15/16,25.39,,
895,7/14/16,26.9,,
895,7/13/16,27.63,,
895,7/12/16,29,,
895,7/11/16,29.8,,
895,7/10/16,26.73,,
895,7/9/16,29.98,,
895,7/8/16,26.08,,
895,7/7/16,27.33,,
895,7/6/16,27.7,,
895,7/5/16,28.84,,
895,7/4/16,22.53,,
895,7/3/16,22.26,,
895,7/2/16,29.97,,
895,7/1/16,23.67,,
895,6/30/16,33.49,,
895,6/29/16,34.04,,
895,6/28/16,26.06,,
895,6/27/16,25.87,,
895,6/26/16,28.28,,
895,6/25/16,33.21,,
895,6/24/16,27.49,,
895,6/23/16,27.88,,
895,6/22/16,26.3,,
895,6/21/16,26.2,,
895,6/20/16,24.4,,
895,6/19/16,20.9,,
895,6/18/16,21.25,,
895,6/17/16,26.49,,
895,6/16/16,27.32,,
895,6/15/16,26.12,,
895,6/14/16,31.02,,
895,6/13/16,27.15,,
895,6/12/16,24.57,,
895,6/11/16,23.62,,
895,6/10/16,26.61,,
895,6/9/16,29.79,,
895,6/8/16,28.21,,
895,6/7/16,37.6,,
895,6/6/16,26.84,,
895,6/5/16,24.54,,
895,6/4/16,17.71,,
895,6/3/16,22.73,,
895,6/2/16,21.83,,
895,6/1/16,23.57,,
895,5/31/16,21.24,,
895,5/30/16,23.96,,
895,5/29/16,26.95,,
895,5/28/16,22.01,,
895,5/27/16,22.09,,
895,5/26/16,22.67,,
895,5/25/16,19.19,,
895,5/24/16,21.29,,
895,5/23/16,27.41,,
895,5/22/16,18.83,,
895,5/21/16,25.01,,
895,5/20/16,24.05,,
895,5/19/16,30.01,,
895,5/18/16,24.37,,
895,5/17/16,21.21,,
895,5/16/16,28.92,,
895,5/15/16,29.71,,
895,5/14/16,17.39,,
895,5/13/16,13.07,,
895,5/12/16,26.64,,
895,5/11/16,23.54,,
895,5/10/16,25.91,,
895,5/9/16,25.97,,
895,5/8/16,28.89,,
895,5/7/16,24.02,,
895,5/6/16,25.13,,
895,5/5/16,19.17,,
895,5/4/16,10.37,,
895,5/3/16,17.64,,
895,5/2/16,21.15,,
895,5/1/16,22.8,,
895,4/30/16,25.67,,
895,4/29/16,23.22,,
895,4/28/16,30.94,,
895,4/27/16,29.15,,
895,4/26/16,29.14,,
895,4/25/16,28.25,,
895,4/24/16,27.45,,
895,4/23/16,22.47,,
895,4/22/16,22.66,,
895,4/21/16,18.9,,
895,4/20/16,25.42,,
895,4/19/16,25.44,,
895,4/18/16,19.94,,
895,4/17/16,18.86,,
895,4/16/16,20.07,,
895,4/15/16,28.98,,
895,4/14/16,25.87,,
895,4/13/16,29.82,,
895,4/12/16,23.02,,
895,4/11/16,22.74,,
895,4/10/16,27.91,,
895,4/9/16,25,,
895,4/8/16,25.16,,
895,4/7/16,24.56,,
895,4/6/16,22.15,,
895,4/5/16,16.04,,
895,4/4/16,19.87,,
895,4/3/16,22.78,,
895,4/2/16,18.62,,
895,4/1/16,21.14,,
895,3/31/16,29.91,,
895,3/30/16,26.68,,
895,3/29/16,26.97,,
895,3/28/16,29.81,,
895,3/27/16,22.72,,
895,3/26/16,25.34,,
895,3/25/16,24.26,,
895,3/24/16,23.9,,
895,3/23/16,27.4,,
895,3/22/16,22.69,,
895,3/21/16,14.77,,
895,3/20/16,19.75,,
895,3/19/16,16.18,,
895,3/18/16,19.27,,
895,3/17/16,21.43,,
895,3/16/16,23.51,,
895,3/15/16,26.41,,
895,3/14/16,29.6,,
895,3/13/16,19.69,,
895,3/12/16,29.17,,
895,3/11/16,18.35,,
895,3/10/16,25.03,,
895,3/9/16,26.25,,
895,3/8/16,22.55,,
895,3/7/16,23.35,,
895,3/6/16,23.42,,
895,3/5/16,24.04,,
895,3/4/16,20.87,,
895,3/3/16,20.87,,
895,3/2/16,20.9,,
895,3/1/16,22.71,,
895,2/29/16,24.68,,
895,2/28/16,23.58,,
895,2/27/16,19.06,,
895,2/26/16,19.03,,
895,2/25/16,19.04,,
895,2/24/16,17.7,,
895,2/23/16,21.95,,
